concentration;id;start_date;start_hour;end_date;end_hour;emergence
0;1;10/01/2023;16:17;20/01/2023;10:30;1
0;2;10/01/2023;16:31;20/01/2023;10:30;1
0;3;10/01/2023;16:45;20/01/2023;10:30;1
0;4;10/01/2023;17:05;20/01/2023;10:30;0
0;5;10/01/2023;17:31;20/01/2023;10:30;1
0;6;10/01/2023;17:45;20/01/2023;10:30;2
0;7;10/01/2023;18:00;20/01/2023;10:30;4
0;8;10/01/2023;18:14;20/01/2023;10:30;0
0;9;10/01/2023;18:37;20/01/2023;10:30;2
0;10;10/01/2023;18:55;20/01/2023;10:30;1
2.5;1;10/01/2023;16:19;20/01/2023;10:30;0
2.5;2;10/01/2023;16:33;20/01/2023;10:30;0
2.5;3;10/01/2023;16:46;20/01/2023;10:30;0
2.5;4;10/01/2023;17:07;20/01/2023;10:30;0
2.5;5;10/01/2023;17:33;20/01/2023;10:30;0
2.5;6;10/01/2023;17:48;20/01/2023;10:30;0
2.5;7;10/01/2023;18:02;20/01/2023;10:30;0
2.5;8;10/01/2023;18:16;20/01/2023;10:30;0
2.5;9;10/01/2023;18:39;20/01/2023;10:30;0
2.5;10;10/01/2023;18:57;20/01/2023;10:30;0
1;1;10/01/2023;16:21;20/01/2023;10:30;0
1;2;10/01/2023;16:35;20/01/2023;10:30;0
1;3;10/01/2023;16:48;20/01/2023;10:30;0
1;4;10/01/2023;17:09;20/01/2023;10:30;0
1;5;10/01/2023;17:35;20/01/2023;10:30;0
1;6;10/01/2023;17:50;20/01/2023;10:30;0
1;7;10/01/2023;18:04;20/01/2023;10:30;0
1;8;10/01/2023;18:18;20/01/2023;10:30;0
1;9;10/01/2023;18:40;20/01/2023;10:30;0
1;10;10/01/2023;18:59;20/01/2023;10:30;0
0.5;1;10/01/2023;16:23;20/01/2023;10:30;0
0.5;2;10/01/2023;16:37;20/01/2023;10:30;0
0.5;3;10/01/2023;16:50;20/01/2023;10:30;0
0.5;4;10/01/2023;17:10;20/01/2023;10:30;0
0.5;5;10/01/2023;17:36;20/01/2023;10:30;0
0.5;6;10/01/2023;17:51;20/01/2023;10:30;0
0.5;7;10/01/2023;18:06;20/01/2023;10:30;0
0.5;8;10/01/2023;18:20;20/01/2023;10:30;0
0.5;9;10/01/2023;18:42;20/01/2023;10:30;0
0.5;10;10/01/2023;19:00;20/01/2023;10:30;0
0.1;1;10/01/2023;16:25;20/01/2023;10:30;0
0.1;2;10/01/2023;16:38;20/01/2023;10:30;1
0.1;3;10/01/2023;16:53;20/01/2023;10:30;1
0.1;4;10/01/2023;17:12;20/01/2023;10:30;3
0.1;5;10/01/2023;17:38;20/01/2023;10:30;2
0.1;6;10/01/2023;17:53;20/01/2023;10:30;1
0.1;7;10/01/2023;18:07;20/01/2023;10:30;0
0.1;8;10/01/2023;18:22;20/01/2023;10:30;0
0.1;9;10/01/2023;18:44;20/01/2023;10:30;1
0.1;10;10/01/2023;19:02;20/01/2023;10:30;2
0.02;1;10/01/2023;16:26;20/01/2023;10:30;1
0.02;2;10/01/2023;16:40;20/01/2023;10:30;2
0.02;3;10/01/2023;16:54;20/01/2023;10:30;2
0.02;4;10/01/2023;17:14;20/01/2023;10:30;0
0.02;5;10/01/2023;17:40;20/01/2023;10:30;3
0.02;6;10/01/2023;17:54;20/01/2023;10:30;0
0.02;7;10/01/2023;18:09;20/01/2023;10:30;5
0.02;8;10/01/2023;18:24;20/01/2023;10:30;1
0.02;9;10/01/2023;18:46;20/01/2023;10:30;4
0.02;10;10/01/2023;19:05;20/01/2023;10:30;1
0.004;1;10/01/2023;16:27;20/01/2023;10:30;1
0.004;2;10/01/2023;16:41;20/01/2023;10:30;3
0.004;3;10/01/2023;16:55;20/01/2023;10:30;5
