concentration;id;start_date;start_hour;end_date;end_hour;emergence
0;1;10/01/2023;10:44;19/01/2023;17:30;0
0;2;10/01/2023;11:00;19/01/2023;17:30;0
0;3;10/01/2023;11:16;19/01/2023;17:30;0
0;4;10/01/2023;11:34;19/01/2023;17:30;1
0;5;10/01/2023;11:52;19/01/2023;17:30;0
0;6;10/01/2023;12:46;19/01/2023;17:30;0
0;7;10/01/2023;13:05;19/01/2023;17:30;0
0;8;10/01/2023;13:26;19/01/2023;17:30;0
0;9;10/01/2023;14:05;19/01/2023;17:30;0
0;10;10/01/2023;15:16;19/01/2023;17:30;0
2.5;1;10/01/2023;10:46;19/01/2023;17:30;0
2.5;2;10/01/2023;11:02;19/01/2023;17:30;0
2.5;3;10/01/2023;11:18;19/01/2023;17:30;0
2.5;4;10/01/2023;11:37;19/01/2023;17:30;0
2.5;5;10/01/2023;11:54;19/01/2023;17:30;0
2.5;6;10/01/2023;12:49;19/01/2023;17:30;0
2.5;7;10/01/2023;13:09;19/01/2023;17:30;0
2.5;8;10/01/2023;13:28;19/01/2023;17:30;0
2.5;9;10/01/2023;14:59;19/01/2023;17:30;0
2.5;10;10/01/2023;15:19;19/01/2023;17:30;0
1;1;10/01/2023;10:48;19/01/2023;17:30;1
1;2;10/01/2023;11:03;19/01/2023;17:30;1
1;3;10/01/2023;11:21;19/01/2023;17:30;1
1;4;10/01/2023;11:39;19/01/2023;17:30;0
1;5;10/01/2023;11:56;19/01/2023;17:30;0
1;6;10/01/2023;12:51;19/01/2023;17:30;0
1;7;10/01/2023;13:10;19/01/2023;17:30;1
1;8;10/01/2023;13:31;19/01/2023;17:30;0
1;9;10/01/2023;15:01;19/01/2023;17:30;0
1;10;10/01/2023;15:21;19/01/2023;17:30;0
0.5;1;10/01/2023;10:50;19/01/2023;17:30;0
0.5;2;10/01/2023;11:05;19/01/2023;17:30;1
0.5;3;10/01/2023;11:23;19/01/2023;17:30;0
0.5;4;10/01/2023;11:41;19/01/2023;17:30;0
0.5;5;10/01/2023;11:57;19/01/2023;17:30;2
0.5;6;10/01/2023;12:53;19/01/2023;17:30;0
