concentration;id;start_date;start_hour;end_date;end_hour;emergence
0;1;23/01/2023;16:04;02/02/2023;14:30;0
0;2;23/01/2023;16:11;02/02/2023;14:30;1
0;3;23/01/2023;16:17;02/02/2023;14:30;0
0;4;23/01/2023;16:24;02/02/2023;14:30;1
0;5;23/01/2023;16:31;02/02/2023;14:30;1
0;6;23/01/2023;16:38;02/02/2023;14:30;5
0;7;23/01/2023;16:42;02/02/2023;14:30;1
0;8;23/01/2023;16:46;02/02/2023;14:30;2
0;9;23/01/2023;16:52;02/02/2023;14:30;2
0;10;23/01/2023;16:57;02/02/2023;14:30;0
7.5;1;23/01/2023;16:07;02/02/2023;14:30;0
7.5;2;23/01/2023;16:13;02/02/2023;14:30;0
7.5;3;23/01/2023;16:20;02/02/2023;14:30;0
7.5;4;23/01/2023;16:27;02/02/2023;14:30;0
7.5;5;23/01/2023;16:33;02/02/2023;14:30;1
7.5;6;23/01/2023;16:40;02/02/2023;14:30;0
7.5;7;23/01/2023;16:44;02/02/2023;14:30;0
7.5;8;23/01/2023;16:49;02/02/2023;14:30;0
7.5;9;23/01/2023;16:54;02/02/2023;14:30;0
7.5;10;23/01/2023;17:00;02/02/2023;14:30;0
5;1;23/01/2023;16:09;02/02/2023;14:30;0
5;2;23/01/2023;16:14;02/02/2023;14:30;2
5;3;23/01/2023;16:22;02/02/2023;14:30;0
5;4;23/01/2023;16:29;02/02/2023;14:30;0
5;5;23/01/2023;16:36;02/02/2023;14:30;0
5;6;23/01/2023;16:41;02/02/2023;14:30;0
5;7;23/01/2023;16:42;02/02/2023;14:30;0
5;8;23/01/2023;16:51;02/02/2023;14:30;0
5;9;23/01/2023;16:56;02/02/2023;14:30;0
5;10;23/01/2023;17:01;02/02/2023;14:30;0
0;1;23/01/2023;16:04;02/02/2023;18:15;3
0;2;23/01/2023;16:11;02/02/2023;18:15;4
0;3;23/01/2023;16:17;02/02/2023;18:15;3
0;4;23/01/2023;16:24;02/02/2023;18:15;1
0;5;23/01/2023;16:31;02/02/2023;18:15;3
0;6;23/01/2023;16:38;02/02/2023;18:15;3
0;7;23/01/2023;16:42;02/02/2023;18:15;3
0;8;23/01/2023;16:46;02/02/2023;18:15;0
0;9;23/01/2023;16:52;02/02/2023;18:15;2
0;10;23/01/2023;16:57;02/02/2023;18:15;2
7.5;1;23/01/2023;16:07;02/02/2023;18:15;0
7.5;2;23/01/2023;16:13;02/02/2023;18:15;0
7.5;3;23/01/2023;16:20;02/02/2023;18:15;0
7.5;4;23/01/2023;16:27;02/02/2023;18:15;0
7.5;5;23/01/2023;16:33;02/02/2023;18:15;0
7.5;6;23/01/2023;16:40;02/02/2023;18:15;0
7.5;7;23/01/2023;16:44;02/02/2023;18:15;0
7.5;8;23/01/2023;16:49;02/02/2023;18:15;0
7.5;9;23/01/2023;16:54;02/02/2023;18:15;0
7.5;10;23/01/2023;17:00;02/02/2023;18:15;0
5;1;23/01/2023;16:09;02/02/2023;18:15;0
5;2;23/01/2023;16:14;02/02/2023;18:15;2
5;3;23/01/2023;16:22;02/02/2023;18:15;0
5;4;23/01/2023;16:29;02/02/2023;18:15;1
5;5;23/01/2023;16:36;02/02/2023;18:15;0
5;6;23/01/2023;16:41;02/02/2023;18:15;1
5;7;23/01/2023;16:42;02/02/2023;18:15;0
5;8;23/01/2023;16:51;02/02/2023;18:15;0
5;9;23/01/2023;16:56;02/02/2023;18:15;1
5;10;23/01/2023;17:01;02/02/2023;18:15;0
0;1;23/01/2023;16:04;03/02/2023;09:10;11
0;2;23/01/2023;16:11;03/02/2023;09:10;7
0;3;23/01/2023;16:17;03/02/2023;09:10;10
0;4;23/01/2023;16:24;03/02/2023;09:10;11
0;5;23/01/2023;16:31;03/02/2023;09:10;9
0;6;23/01/2023;16:38;03/02/2023;09:10;7
0;7;23/01/2023;16:42;03/02/2023;09:10;8
0;8;23/01/2023;16:46;03/02/2023;09:10;8
0;9;23/01/2023;16:52;03/02/2023;09:10;13
0;10;23/01/2023;16:57;03/02/2023;09:10;11
7.5;1;23/01/2023;16:07;03/02/2023;09:10;1
7.5;2;23/01/2023;16:13;03/02/2023;09:10;2
7.5;3;23/01/2023;16:20;03/02/2023;09:10;0
7.5;4;23/01/2023;16:27;03/02/2023;09:10;0
7.5;5;23/01/2023;16:33;03/02/2023;09:10;0
7.5;6;23/01/2023;16:40;03/02/2023;09:10;2
7.5;7;23/01/2023;16:44;03/02/2023;09:10;1
7.5;8;23/01/2023;16:49;03/02/2023;09:10;0
7.5;9;23/01/2023;16:54;03/02/2023;09:10;0
7.5;10;23/01/2023;17:00;03/02/2023;09:10;0
5;1;23/01/2023;16:09;03/02/2023;09:10;12
5;2;23/01/2023;16:14;03/02/2023;09:10;7
5;3;23/01/2023;16:22;03/02/2023;09:10;6
5;4;23/01/2023;16:29;03/02/2023;09:10;13
5;5;23/01/2023;16:36;03/02/2023;09:10;9
5;6;23/01/2023;16:41;03/02/2023;09:10;4
5;7;23/01/2023;16:42;03/02/2023;09:10;10
5;8;23/01/2023;16:51;03/02/2023;09:10;6
5;9;23/01/2023;16:56;03/02/2023;09:10;9
5;10;23/01/2023;17:01;03/02/2023;09:10;9
0;1;23/01/2023;16:04;03/02/2023;13:40;1
0;2;23/01/2023;16:11;03/02/2023;13:40;0
0;3;23/01/2023;16:17;03/02/2023;13:40;0
0;4;23/01/2023;16:24;03/02/2023;13:40;0
0;5;23/01/2023;16:31;03/02/2023;13:40;0
0;6;23/01/2023;16:38;03/02/2023;13:40;1
0;7;23/01/2023;16:42;03/02/2023;13:40;0
0;8;23/01/2023;16:46;03/02/2023;13:40;1
0;9;23/01/2023;16:52;03/02/2023;13:40;1
0;10;23/01/2023;16:57;03/02/2023;13:40;0
7.5;1;23/01/2023;16:07;03/02/2023;13:40;0
7.5;2;23/01/2023;16:13;03/02/2023;13:40;0
7.5;3;23/01/2023;16:20;03/02/2023;13:40;0
7.5;4;23/01/2023;16:27;03/02/2023;13:40;0
7.5;5;23/01/2023;16:33;03/02/2023;13:40;0
7.5;6;23/01/2023;16:40;03/02/2023;13:40;0
7.5;7;23/01/2023;16:44;03/02/2023;13:40;0
7.5;8;23/01/2023;16:49;03/02/2023;13:40;0
7.5;9;23/01/2023;16:54;03/02/2023;13:40;2
7.5;10;23/01/2023;17:00;03/02/2023;13:40;0
5;1;23/01/2023;16:09;03/02/2023;13:40;2
5;2;23/01/2023;16:14;03/02/2023;13:40;0
5;3;23/01/2023;16:22;03/02/2023;13:40;0
5;4;23/01/2023;16:29;03/02/2023;13:40;0
5;5;23/01/2023;16:36;03/02/2023;13:40;1
5;6;23/01/2023;16:41;03/02/2023;13:40;0
5;7;23/01/2023;16:42;03/02/2023;13:40;2
5;8;23/01/2023;16:51;03/02/2023;13:40;0
5;9;23/01/2023;16:56;03/02/2023;13:40;2
5;10;23/01/2023;17:01;03/02/2023;13:40;0
0;1;23/01/2023;16:04;03/02/2023;17:06;0
0;2;23/01/2023;16:11;03/02/2023;17:06;2
0;3;23/01/2023;16:17;03/02/2023;17:06;0
0;4;23/01/2023;16:24;03/02/2023;17:06;0
0;5;23/01/2023;16:31;03/02/2023;17:06;0
0;6;23/01/2023;16:38;03/02/2023;17:06;0
0;7;23/01/2023;16:42;03/02/2023;17:06;0
0;8;23/01/2023;16:46;03/02/2023;17:06;0
0;9;23/01/2023;16:52;03/02/2023;17:06;0
0;10;23/01/2023;16:57;03/02/2023;17:06;0
7.5;1;23/01/2023;16:07;03/02/2023;17:06;0
7.5;2;23/01/2023;16:13;03/02/2023;17:06;0
7.5;3;23/01/2023;16:20;03/02/2023;17:06;0
7.5;4;23/01/2023;16:27;03/02/2023;17:06;0
7.5;5;23/01/2023;16:33;03/02/2023;17:06;0
7.5;6;23/01/2023;16:40;03/02/2023;17:06;0
7.5;7;23/01/2023;16:44;03/02/2023;17:06;0
7.5;8;23/01/2023;16:49;03/02/2023;17:06;0
7.5;9;23/01/2023;16:54;03/02/2023;17:06;1
7.5;10;23/01/2023;17:00;03/02/2023;17:06;0
5;1;23/01/2023;16:09;03/02/2023;17:06;0
5;2;23/01/2023;16:14;03/02/2023;17:06;1
5;3;23/01/2023;16:22;03/02/2023;17:06;1
5;4;23/01/2023;16:29;03/02/2023;17:06;0
5;5;23/01/2023;16:36;03/02/2023;17:06;2
5;6;23/01/2023;16:41;03/02/2023;17:06;3
5;7;23/01/2023;16:42;03/02/2023;17:06;0
5;8;23/01/2023;16:51;03/02/2023;17:06;0
5;9;23/01/2023;16:56;03/02/2023;17:06;0
5;10;23/01/2023;17:01;03/02/2023;17:06;0
0;1;23/01/2023;16:04;04/02/2023;14:20;0
0;2;23/01/2023;16:11;04/02/2023;14:20;0
0;3;23/01/2023;16:17;04/02/2023;14:20;0
0;4;23/01/2023;16:24;04/02/2023;14:20;0
0;5;23/01/2023;16:31;04/02/2023;14:20;0
0;6;23/01/2023;16:38;04/02/2023;14:20;0
0;7;23/01/2023;16:42;04/02/2023;14:20;0
0;8;23/01/2023;16:46;04/02/2023;14:20;0
0;9;23/01/2023;16:52;04/02/2023;14:20;0
0;10;23/01/2023;16:57;04/02/2023;14:20;0
7.5;1;23/01/2023;16:07;04/02/2023;14:20;1
7.5;2;23/01/2023;16:13;04/02/2023;14:20;0
7.5;3;23/01/2023;16:20;04/02/2023;14:20;1
7.5;4;23/01/2023;16:27;04/02/2023;14:20;0
7.5;5;23/01/2023;16:33;04/02/2023;14:20;0
7.5;6;23/01/2023;16:40;04/02/2023;14:20;0
7.5;7;23/01/2023;16:44;04/02/2023;14:20;0
7.5;8;23/01/2023;16:49;04/02/2023;14:20;0
7.5;9;23/01/2023;16:54;04/02/2023;14:20;0
7.5;10;23/01/2023;17:00;04/02/2023;14:20;2
5;1;23/01/2023;16:09;04/02/2023;14:20;0
5;2;23/01/2023;16:14;04/02/2023;14:20;1
5;3;23/01/2023;16:22;04/02/2023;14:20;0
5;4;23/01/2023;16:29;04/02/2023;14:20;0
5;5;23/01/2023;16:36;04/02/2023;14:20;1
5;6;23/01/2023;16:41;04/02/2023;14:20;1
5;7;23/01/2023;16:42;04/02/2023;14:20;0
5;8;23/01/2023;16:51;04/02/2023;14:20;0
5;9;23/01/2023;16:56;04/02/2023;14:20;1
5;10;23/01/2023;17:01;04/02/2023;14:20;0
0;1;23/01/2023;16:04;05/02/2023;14:36;0
0;2;23/01/2023;16:11;05/02/2023;14:36;0
0;3;23/01/2023;16:17;05/02/2023;14:36;0
0;4;23/01/2023;16:24;05/02/2023;14:36;0
0;5;23/01/2023;16:31;05/02/2023;14:36;0
0;6;23/01/2023;16:38;05/02/2023;14:36;0
0;7;23/01/2023;16:42;05/02/2023;14:36;0
0;8;23/01/2023;16:46;05/02/2023;14:36;0
0;9;23/01/2023;16:52;05/02/2023;14:36;0
0;10;23/01/2023;16:57;05/02/2023;14:36;0
7.5;1;23/01/2023;16:07;05/02/2023;14:36;0
7.5;2;23/01/2023;16:13;05/02/2023;14:36;0
7.5;3;23/01/2023;16:20;05/02/2023;14:36;0
7.5;4;23/01/2023;16:27;05/02/2023;14:36;0
7.5;5;23/01/2023;16:33;05/02/2023;14:36;0
7.5;6;23/01/2023;16:40;05/02/2023;14:36;0
7.5;7;23/01/2023;16:44;05/02/2023;14:36;0
7.5;8;23/01/2023;16:49;05/02/2023;14:36;0
7.5;9;23/01/2023;16:54;05/02/2023;14:36;0
7.5;10;23/01/2023;17:00;05/02/2023;14:36;0
5;1;23/01/2023;16:09;05/02/2023;14:36;1
5;2;23/01/2023;16:14;05/02/2023;14:36;0
5;3;23/01/2023;16:22;05/02/2023;14:36;0
5;4;23/01/2023;16:29;05/02/2023;14:36;1
5;5;23/01/2023;16:36;05/02/2023;14:36;0
5;6;23/01/2023;16:41;05/02/2023;14:36;0
5;7;23/01/2023;16:42;05/02/2023;14:36;0
5;8;23/01/2023;16:51;05/02/2023;14:36;1
5;9;23/01/2023;16:56;05/02/2023;14:36;0
5;10;23/01/2023;17:01;05/02/2023;14:36;0
