concentration;ID;mass;tibia
0;1;1.219;0.709
0;2;1.242;0.733
0;3;1.208;0.741
0;4;1.028;0.687
0;5;1.294;0.687
0;6;1.047;0.687
0;7;1.061;0.653
0;8;1.083;0.678
0;9;1.041;0.697
0;10;1.193;0.7
0;11;1.207;0.718
0;12;1.177;0.692
0;13;1.141;0.674
0;14;1.337;0.735
0;15;1.236;0.72
0;16;1.106;0.734
0;17;1.217;0.726
0;18;1.099;0.707
0;19;1.158;0.699
0;20;1.093;0.671
0;21;1.085;0.672
0;22;1.146;0.677
0;23;1.22;0.696
0;24;1.094;0.702
0;25;1.233;0.699
0;26;1.103;0.682
0;27;1.109;0.692
0;28;1.304;0.726
0;29;1.28;0.702
0;30;1.183;0.734
0.5;1;1.014;0.672
0.5;2;1.359;0.686
0.5;3;1.008;0.715
0.5;4;1.402;0.648
0.5;5;1.27;0.675
0.5;6;1.372;0.718
0.5;7;1.293;0.672
0.5;8;1.133;0.667
0.5;9;1.362;0.676
0.5;10;1.212;0.686
0.5;11;1.02;0.676
0.5;12;1.182;0.679
0.5;13;1.205;0.679
0.5;14;1.246;0.687
0.5;15;1.09;0.711
0.5;16;1.276;0.693
0.5;17;1.312;0.706
0.5;18;1.21;0.726
0.5;19;0.986;0.671
0.5;20;1.188;0.714
0.5;21;1.198;0.672
0.5;22;1.279;0.69
0.5;23;1.39;0.729
0.5;24;1.154;0.709
0.5;25;1.337;0.734
0.5;26;1.364;0.705
0.5;27;1.23;0.707
0.5;28;1.103;0.707
0.5;29;1.247;0.631
0.5;30;1.331;0.689
0.1;1;1.187;0.725
0.1;2;1.129;0.703
0.1;3;1.179;0.671
0.1;4;1.444;0.707
0.1;5;1.267;0.701
0.1;6;1.214;0.715
0.1;7;1.147;0.721
0.1;8;1.157;0.676
0.1;9;1.21;0.698
0.1;10;1.203;0.696
0.1;11;1.23;0.693
0.1;12;1.273;0.716
0.1;13;1.109;0.687
0.1;14;1.131;0.646
0.1;15;1.08;0.688
0.1;16;1.375;0.701
0.1;17;1.102;0.681
0.1;18;1.231;0.716
0.1;19;1.27;0.72
0.1;20;1.214;0.665
0.1;21;1.095;0.713
0.1;22;1.031;0.685
0.1;23;1.098;0.692
0.1;24;1.266;0.677
0.1;25;1.152;0.699
0.1;26;1.087;0.681
0.1;27;1.096;0.691
0.1;28;1.23;0.711
0.1;29;1.074;0.718
0.1;30;1.207;0.718
0.02;1;1.118;0.701
0.02;2;1.193;0.74
0.02;3;1.101;0.678
0.02;4;1.249;0.7
0.02;5;1.21;0.698
0.02;6;1.24;0.676
0.02;7;1.252;0.686
0.02;8;1.101;0.675
0.02;9;1.128;0.703
0.02;10;1.135;0.7
0.02;11;1.201;0.693
0.02;12;1.251;0.716
0.02;13;1.163;0.716
0.02;14;1.069;0.716
0.02;15;1.271;0.707
0.02;16;1.153;0.709
0.02;17;1.222;0.686
0.02;18;1.169;0.704
0.02;19;1.096;0.668
0.02;20;1.107;0.657
0.02;21;1.262;0.689
0.02;22;1.315;0.715
0.02;23;1.144;0.719
0.02;24;1.357;0.709
0.02;25;1.212;0.674
0.02;26;1.169;0.696
0.02;27;1.133;0.709
0.02;28;1.233;0.681
0.02;29;1.132;0.698
0.02;30;1.087;0.672
