concentration;ID;mass;tibia
0;1;1.145;0.709
0;2;1.196;0.726
0;3;1.199;0.718
0;4;0.999;0.708
0;5;1.26;0.724
0;6;1.205;0.725
0;7;1.206;0.722
0;8;1.258;0.725
0;9;1.244;0.732
0;10;1.226;0.696
0;11;1.133;0.704
0;12;1.069;0.652
0;13;1.209;0.716
0;14;1.16;0.721
0;15;1.148;0.714
0;16;1.155;0.659
0;17;1.239;0.723
0;18;1.311;0.687
0;19;1.292;0.71
0;20;1.076;0.678
0;21;1.269;0.642
0;22;0.951;0.635
0;23;1.215;0.678
0;24;1.202;0.708
0;25;1.24;0.709
0;26;1.212;0.699
0;27;1.197;0.702
0;28;1.145;0.708
0;29;1.194;0.699
0;30;1.24;0.7
5;1;1.262;0.709
5;2;1.321;0.764
5;3;1;0.698
5;4;1.286;0.663
5;5;1.362;0.701
5;6;1.289;0.652
5;7;1.145;0.688
5;8;1.202;0.678
5;9;1.052;0.718
5;10;1.238;0.708
5;11;1.184;0.675
5;12;1.203;0.669
5;13;1.196;0.669
5;14;1.223;0.729
5;15;1.269;0.718
5;16;1.259;0.671
5;17;1.383;0.737
5;18;1.22;0.712
5;19;1.192;0.709
5;20;1.28;0.712
5;21;1.266;0.688
5;22;1.043;0.628
5;23;0.83;0.66
5;24;1.25;0.712
5;25;1.239;0.709
5;26;1.0309;0.713
5;27;1.355;0.7
5;28;1.247;0.681
5;29;1.119;0.685
5;30;1.162;0.712
2.5;1;1.137;0.739
2.5;2;1.138;0.683
2.5;3;1.069;0.679
2.5;4;1.094;0.688
2.5;5;1.286;0.695
2.5;6;1.262;0.7
2.5;7;1.13;0.723
2.5;8;1.227;0.68
2.5;9;1.144;0.696
2.5;10;1.243;0.713
2.5;11;1.102;0.696
2.5;12;1.238;0.694
2.5;13;1.16;0.71
2.5;14;1.29;0.729
2.5;15;1.201;0.7
2.5;16;1.218;0.714
2.5;17;1.24;0.693
2.5;18;1.124;0.635
2.5;19;1.366;0.728
2.5;20;1.277;0.699
2.5;21;1.039;0.655
2.5;22;1.347;0.73
2.5;23;1.262;0.663
2.5;24;1.239;0.722
2.5;25;1.296;0.715
2.5;26;1.171;0.708
2.5;27;0.987;0.683
2.5;28;1.42;0.742
2.5;29;1.16;0.714
2.5;30;1.262;0.72
1;1;1.079;0.678
1;2;1.072;0.727
1;3;1.212;0.725
1;4;1.173;0.685
1;5;1.189;0.705
1;6;1.199;0.655
1;7;1.024;0.669
1;8;1.4;0.703
1;9;1.286;0.659
1;10;1.339;0.739
1;11;0.965;0.665
1;12;1.156;0.704
1;13;1.164;0.716
1;14;1.18;0.718
1;15;1.17;0.697
1;16;1.235;0.69
1;17;1.204;0.699
1;18;1.211;0.718
1;19;1.168;0.69
1;20;1.302;0.695
1;21;1.283;0.731
1;22;1.271;0.709
1;23;1.192;0.651
1;24;1.168;0.729
1;25;1.133;0.698
1;26;1.305;0.74
1;27;1.224;0.723
1;28;1.106;0.688
1;29;1.146;0.709
1;30;1.223;0.714
