Concentration;ID;Pupa;Adult
0;1;19;19
0;2;12;12
0;3;14;14
0;4;17;16
0;5;15;13
0;6;18;17
0;7;18;17
0;8;18;17
0;9;19;18
0;10;17;17
2.5;1;0;0
2.5;2;2;0
2.5;3;2;0
2.5;4;1;1
2.5;5;4;3
2.5;6;1;1
2.5;7;5;5
2.5;8;6;3
2.5;9;14;13
2.5;10;5;2
1;1;3;3
1;2;1;1
1;3;10;10
1;4;9;9
1;5;10;10
1;6;6;5
1;7;6;6
1;8;5;2
1;9;14;13
1;10;5;3
0.5;1;11;10
0.5;2;12;10
0.5;3;11;11
0.5;4;13;14
0.5;5;9;9
0.5;6;12;12
0.5;7;14;14
0.5;8;11;11
0.5;9;19;16
0.5;10;15;13
0.1;1;10;9
0.1;2;17;14
0.1;3;15;13
0.1;4;18;16
0.1;5;16;11
0.1;6;10;8
0.1;7;19;19
0.1;8;16;16
0.1;9;18;15
0.1;10;17;14
0.02;1;17;17
0.02;2;12;12
0.02;3;16;15
0.02;4;8;7
0.02;5;18;18
0.02;6;13;13
0.02;7;18;18
0.02;8;15;16
0.02;9;18;20
0.02;10;18;17
0.004;1;13;12
0.004;2;17;15
0.004;3;15;12
0.004;4;16;13
0.004;5;17;15
0.004;6;12;11
0.004;7;18;17
0.004;8;17;15
0.004;9;16;16
0.004;10;19;19
0.0008;1;8;7
0.0008;2;13;12
0.0008;3;16;16
0.0008;4;14;13
0.0008;5;18;17
0.0008;6;10;10
0.0008;7;19;19
0.0008;8;19;16
0.0008;9;18;17
0.0008;10;18;17
