Concentration;ID;Pupa;Adult
0;1;19;18
0;2;14;12
0;3;13;11
0;4;19;18
0;5;15;13
0;6;12;11
0;7;13;13
0;8;16;14
0;9;12;12
0;10;16;14
0;11;15;15
0;12;16;14
0;13;14;13
0;14;16;13
0;15;13;13
0;16;17;16
0;17;13;12
0;18;12;11
0;19;17;18
0;20;15;13
7.5;1;8;2
7.5;2;10;2
7.5;3;13;1
7.5;4;8;0
7.5;5;11;1
7.5;6;13;2
7.5;7;8;1
7.5;8;8;0
7.5;9;12;3
7.5;10;10;2
5;1;17;15
5;2;13;13
5;3;10;7
5;4;18;15
5;5;18;13
5;6;12;9
5;7;14;12
5;8;7;7
5;9;14;13
5;10;11;9
2.5;1;20;18
2.5;2;16;16
2.5;3;18;15
2.5;4;16;15
2.5;5;18;17
2.5;6;11;11
2.5;7;10;10
2.5;8;14;14
2.5;9;16;16
2.5;10;15;14
1;1;17;11
1;2;17;15
1;3;19;18
1;4;18;17
1;5;17;14
1;6;17;16
1;7;14;12
1;8;11;11
1;9;18;16
1;10;17;16
0.5;1;15;13
0.5;2;19;18
0.5;3;12;9
0.5;4;15;15
0.5;5;18;15
0.5;6;17;16
0.5;7;9;7
0.5;8;7;7
0.5;9;17;16
0.5;10;17;16
0.1;1;14;14
0.1;2;14;13
0.1;3;10;10
0.1;4;19;19
0.1;5;19;18
0.1;6;11;10
0.1;7;13;13
0.1;8;17;17
0.1;9;17;13
0.1;10;14;13
0.02;1;15;15
0.02;2;16;13
0.02;3;16;14
0.02;4;16;15
0.02;5;20;19
0.02;6;8;8
0.02;7;17;16
0.02;8;15;13
0.02;9;17;16
0.02;10;19;18
0.004;1;17;15
0.004;2;17;17
0.004;3;15;13
0.004;4;19;15
0.004;5;18;17
0.004;6;16;13
0.004;7;13;13
0.004;8;4;3
0.004;9;20;18
0.004;10;11;10
0.0008;1;17;15
0.0008;2;16;14
0.0008;3;19;18
0.0008;4;16;15
0.0008;5;16;14
0.0008;6;16;15
0.0008;7;13;12
0.0008;8;13;13
0.0008;9;18;15
0.0008;10;13;10
